"","title","release_date","title_clean","title_clean_match"
"1","Hating Game, The","2022-01-06","the hating game","the hating game"
"2","Out of Death","2022-01-06","out of death","out of death"
"3","13 Minutes","2022-01-13","13 minutes","13 minutes"
"4","Scream","2022-01-20","scream","scream"
"5","Arctic Dogs","2022-01-20","arctic dogs","arctic dogs"
"6","Penguin Bloom","2022-01-20","penguin bloom","penguin bloom"
"7","Nightmare Alley","2022-01-27","nightmare alley","nightmare alley"
"8","355, The","2022-01-27","the 355","the 355"
"9","Swallow","2022-01-27","swallow","swallow"
"10","Moonfall","2022-02-03","moonfall","moonfall"
"11","Lost Daughter, The (2021)","2022-02-03","lost daughter the","lost daughter the"
"12","Boy Behind the Door, The","2022-02-03","the boy behind the door","the boy behind the door"
"13","Death on the Nile","2022-02-10","death on the nile","death on the nile"
"14","Marry Me","2022-02-10","marry me","marry me"
"15","Beatles: Get Back - The Rooftop Concert, The","2022-02-11","the beatles get back the rooftop concert","the beatles get back the rooftop concert"
"16","Uncharted","2022-02-17","uncharted","uncharted"
"17","Prisoners Of The Ghostland","2022-02-17","prisoners of the ghostland","prisoners of the ghostland"
"18","Cyrano","2022-02-24","cyrano","cyrano"
"19","Batman, The","2022-03-03","the batman","the batman"
"20","Jackass Forever","2022-03-10","jackass forever","jackass forever"
"21","Koati","2022-03-10","koati","koati"
"22","Dog","2022-03-10","dog","dog"
"23","Desperate Hour, The","2022-03-10","the desperate hour","the desperate hour"
"24","Ambulance","2022-03-17","ambulance","ambulance"
"25","X (2022)","2022-03-17","x","x"
"26","Contractor, The","2022-03-24","the contractor","the contractor"
"27","Georgetown","2022-03-24","georgetown","georgetown"
"28","Sonic The Hedgehog 2","2022-03-31","sonic the hedgehog 2","sonic the hedgehog 2"
"29","Morbius","2022-03-31","morbius","morbius"
"30","Fantastic Beasts: The Secrets of Dumbledore","2022-04-07","fantastic beasts the secrets of dumbledore","fantastic beasts the secrets of dumbledore"
"31","Everything Everywhere All at Once","2022-04-07","everything everywhere all at once","everything everywhere all at once"
"32","Gasoline Alley","2022-04-07","gasoline alley","gasoline alley"
"33","Mass","2022-04-07","mass","mass"
"34","Lost City, The","2022-04-14","the lost city","the lost city"
"35","Bad Guys, The","2022-04-14","the bad guys","the bad guys"
"36","Demonic","2022-04-14","demonic","demonic"
"37","Northman, The","2022-04-21","the northman","the northman"
"38","Unbearable Weight Of Massive Talent, The","2022-04-21","the unbearable weight of massive talent","the unbearable weight of massive talent"
"39","Dangerous (2021)","2022-04-28","dangerous","dangerous"
"40","Seventh Day, The","2022-04-28","the seventh day","the seventh day"
"41","Fortress (2021)","2022-04-28","fortress","fortress"
"42","Doctor Strange in the Multiverse of Madness","2022-05-05","doctor strange in the multiverse of madness","doctor strange in the multiverse of madness"
"43","Reel Rock 16","2022-05-05","reel rock 16","reel rock 16"
"44","Last Looks","2022-05-12","last looks","last looks"
"45","After Yang","2022-05-12","after yang","after yang"
"46","Memory (2022)","2022-05-19","memory","memory"
"47","Top Gun Maverick","2022-05-26","top gun maverick","top gun maverick"
"48","Marmaduke","2022-06-02","marmaduke","marmaduke"
"49","Jurassic World Dominion","2022-06-09","jurassic world dominion","jurassic world dominion"
"50","Lightyear","2022-06-16","lightyear","lightyear"
"51","Elvis","2022-06-23","elvis","elvis"
"52","Black Phone, The","2022-06-23","the black phone","the black phone"
"53","Deadlock (2021)","2022-06-23","deadlock","deadlock"
